,crdc_id,year,ncessch,leaid,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
0,040032402160,2011,040032402160,0400324,309837.0,650997.0,472678.0,,,,819492.0,,,
1,040032402265,2011,040032402265,0400324,278922.0,460968.0,321338.0,,,,465507.0,,,
2,060000103278,2011,060000103278,0600001,1552253.0,1552253.0,749092.0,,,,488255.0,,,
3,060000106294,2011,060000106294,0600001,569144.0,569144.0,322437.0,,,,210135.0,,,
4,060000107534,2011,060000107534,0600001,954089.0,954089.0,476020.0,,,,488255.0,,,
5,060000109444,2011,060000109444,0600001,960974.0,960974.0,474172.0,,,,309022.0,,,
6,060000210346,2011,060000210346,0600002,3581635.0,4122559.0,3581635.0,,,,8500000.0,,,
7,060000310347,2011,060000310347,0600003,7212384.0,12976292.0,9660030.0,,,,211013.0,,,
8,060000608773,2011,060000608773,0600006,1249113.0,1594748.0,1410394.0,,,,134600.0,,,
9,060000608774,2011,060000608774,0600006,1674669.0,2406672.0,2116441.0,,,,147563.0,,,
10,060000608775,2011,060000608775,0600006,1135398.0,1457604.0,1294477.0,,,,115380.0,,,
11,060000608776,2011,060000608776,0600006,1256857.0,1526748.0,1431803.0,,,,131516.0,,,
12,060000699999,2011,,,1016122.0,1273409.0,1086161.0,,,,99624.0,,,
13,060000908779,2011,060000908779,0600009,372831.0,530108.0,396215.0,,,,301983.0,,,
14,060000908780,2011,060000908780,0600009,494294.0,733438.0,606247.0,,,,164800.0,,,
15,060001109065,2011,060001109065,0600011,419459.0,511190.0,419459.0,,,,170851.0,,,
16,060001109066,2011,060001109066,0600011,80656.0,99595.0,80656.0,,,,1595.0,,,
17,060001109068,2011,060001109068,0600011,190513.0,252153.0,190513.0,,,,114462.0,,,
18,060001112763,2011,060001112763,0600011,287196.0,342474.0,287196.0,,,,159348.0,,,
19,060001206852,2011,060001206852,0600012,51451.0,90141.0,89447.0,,,,42450.0,,,
20,060001209206,2011,060001209206,0600012,360155.0,506932.0,401699.0,,,,570777.0,,,
21,060001300805,2011,060001300805,0600013,1043233.0,1322135.0,1108214.0,,,,0.0,,,
22,060001302405,2011,060001302405,0600013,4454202.0,6077220.0,4584422.0,,,,0.0,,,
23,060001303571,2011,060001303571,0600013,1582338.0,1894590.0,1664356.0,,,,0.0,,,
24,060001306176,2011,060001306176,0600013,386288.0,653376.0,428086.0,,,,0.0,,,
25,060001306197,2011,060001306197,0600013,186427.0,286444.0,186427.0,,,,0.0,,,
26,060001308256,2011,060001308256,0600013,1051219.0,1305619.0,1111795.0,,,,0.0,,,
27,060001308257,2011,060001308257,0600013,2419071.0,3092919.0,2537674.0,,,,0.0,,,
28,060001308553,2011,060001308553,0600013,2313302.0,2949986.0,2413999.0,,,,0.0,,,
29,060001308763,2011,060001308763,0600013,1198984.0,1465622.0,1280706.0,,,,0.0,,,
30,060001308764,2011,060001308764,0600013,1198827.0,1518320.0,1284896.0,,,,0.0,,,
31,060001309069,2011,060001309069,0600013,1111571.0,1391990.0,1182761.0,,,,0.0,,,
32,060001309070,2011,060001309070,0600013,1256097.0,1527834.0,1332161.0,,,,0.0,,,
33,060001310270,2011,060001310270,0600013,1023272.0,1275989.0,1074670.0,,,,0.0,,,
34,060001310575,2011,060001310575,0600013,1382851.0,1683464.0,1462237.0,,,,0.0,,,
35,060001311009,2011,060001311009,0600013,1058579.0,1324324.0,1125207.0,,,,0.0,,,
36,060001311010,2011,060001311010,0600013,3938642.0,5442982.0,4064656.0,,,,0.0,,,
37,060001312558,2011,060001312558,0600013,1430942.0,1736183.0,1513265.0,,,,0.0,,,
38,060001403904,2011,060001403904,0600014,1436148.0,2144490.0,1757182.0,,,,254478.0,,,
39,060001405093,2011,060001405093,0600014,4703186.0,8102971.0,6467696.0,,,,1075806.0,,,
40,060001407287,2011,060001407287,0600014,342338.0,343138.0,342338.0,,,,45259.0,,,
41,060001407295,2011,060001407295,0600014,1708468.0,2410339.0,1989330.0,,,,201136.0,,,
42,060001408296,2011,060001408296,0600014,212796.0,358901.0,212796.0,,,,21463.0,,,
43,060001409072,2011,060001409072,0600014,3755448.0,7343940.0,5610297.0,,,,1107717.0,,,
44,060001409073,2011,060001409073,0600014,726230.0,1929093.0,1208301.0,,,,311779.0,,,
45,060001409074,2011,060001409074,0600014,1741508.0,2511630.0,2062888.0,,,,269867.0,,,
46,060001409075,2011,060001409075,0600014,1342468.0,1977021.0,1548208.0,,,,231494.0,,,
47,060001409076,2011,060001409076,0600014,1300208.0,1978714.0,1576575.0,,,,214102.0,,,
48,060001409077,2011,060001409077,0600014,2292197.0,4178789.0,3232947.0,,,,629321.0,,,
49,060001409078,2011,060001409078,0600014,1741508.0,2511630.0,2062888.0,,,,269867.0,,,
50,060001409079,2011,060001409079,0600014,1607877.0,2352342.0,1945296.0,,,,186779.0,,,
51,060001409080,2011,060001409080,0600014,1232169.0,2188128.0,1777521.0,,,,255432.0,,,
52,060001409081,2011,060001409081,0600014,1783784.0,2569721.0,2139090.0,,,,318371.0,,,
53,060001409082,2011,060001409082,0600014,1744697.0,2634489.0,2157316.0,,,,230029.0,,,
54,060001409476,2011,060001409476,0600014,1166431.0,1849178.0,1489610.0,,,,146549.0,,,
55,060001409477,2011,060001409477,0600014,1473275.0,2227586.0,1808514.0,,,,213999.0,,,
56,060001409676,2011,060001409676,0600014,2190558.0,3985628.0,3158356.0,,,,457560.0,,,
57,060001411119,2011,060001411119,0600014,1685054.0,2320580.0,1958176.0,,,,316807.0,,,
58,060001412100,2011,060001412100,0600014,660941.0,1144246.0,1110568.0,,,,209248.0,,,
59,060001412103,2011,060001412103,0600014,2187935.0,3886152.0,3070610.0,,,,404093.0,,,
60,060001412171,2011,060001412171,0600014,1932456.0,2815305.0,2365053.0,,,,313856.0,,,
61,060001412415,2011,060001412415,0600014,1428363.0,1983068.0,1637325.0,,,,225289.0,,,
62,060001412417,2011,060001412417,0600014,4320054.0,7616664.0,6015507.0,,,,1248715.0,,,
63,060001503907,2011,060001503907,0600015,58788.0,83545.0,83545.0,,,,545.0,,,
64,060001506466,2011,060001506466,0600015,63355.0,77982.0,75984.0,,,,683.0,,,
65,060001509083,2011,060001509083,0600015,978177.0,1200687.0,992033.0,,,,18500.0,,,
66,060001509084,2011,060001509084,0600015,168173.0,189055.0,168173.0,,,,3367.0,,,
67,060001510305,2011,060001510305,0600015,756163.0,962279.0,774307.0,,,,84860.0,,,
68,060001511860,2011,060001511860,0600015,3311040.0,3828592.0,3311040.0,,,,4347832.0,,,
69,060001609085,2011,060001609085,0600016,956949.0,1309935.0,986802.0,,,,29755.0,,,
70,060001609086,2011,060001609086,0600016,9276692.0,11977703.0,9692617.0,,,,463116.0,,,
71,060001609087,2011,060001609087,0600016,1734174.0,21368667.0,1851938.0,,,,116150.0,,,
72,060001609088,2011,060001609088,0600016,2002930.0,2417264.0,2115172.0,,,,166035.0,,,
73,060001609089,2011,060001609089,0600016,1961859.0,2450099.0,2073639.0,,,,132608.0,,,
74,060001609090,2011,060001609090,0600016,1196412.0,1593727.0,1251342.0,,,,60817.0,,,
75,060001609091,2011,060001609091,0600016,1611310.0,2020430.0,1660769.0,,,,65644.0,,,
76,060001609092,2011,060001609092,0600016,2434169.0,3044970.0,2434169.0,,,,64332.0,,,
77,060001609093,2011,060001609093,0600016,1089919.0,1443433.0,1162539.0,,,,45147.0,,,
78,060001609094,2011,060001609094,0600016,1230614.0,1549873.0,1293998.0,,,,55931.0,,,
79,060001609095,2011,060001609095,0600016,1464448.0,1815793.0,1560408.0,,,,75142.0,,,
80,060001609096,2011,060001609096,0600016,2526820.0,3204821.0,2589917.0,,,,134859.0,,,
81,060001609097,2011,060001609097,0600016,1697114.0,2018262.0,1736338.0,,,,89601.0,,,
82,060001609678,2011,060001609678,0600016,2008394.0,2418320.0,2045933.0,,,,98073.0,,,
83,060001701149,2011,060001701149,0600017,1747304.0,2090674.0,1911044.0,,,,191994.0,,,
84,060001705167,2011,060001705167,0600017,1441330.0,1758743.0,1567022.0,,,,148542.0,,,
85,060001708297,2011,060001708297,0600017,3686918.0,5217566.0,4409696.0,,,,721956.0,,,
86,060001708588,2011,060001708588,0600017,1054135.0,1245291.0,1160823.0,,,,108695.0,,,
87,060001709098,2011,060001709098,0600017,4313046.0,5883205.0,5079342.0,,,,802289.0,,,
88,060001709099,2011,060001709099,0600017,146544.0,209886.0,200104.0,,,,286.0,,,
89,060001709100,2011,060001709100,0600017,1450942.0,1840586.0,1643258.0,,,,192148.0,,,
90,060001709101,2011,060001709101,0600017,1711248.0,2084206.0,1885569.0,,,,206562.0,,,
91,060001709102,2011,060001709102,0600017,1598680.0,2036767.0,1792732.0,,,,227482.0,,,
92,060001709103,2011,060001709103,0600017,1390648.0,1705215.0,1524889.0,,,,180373.0,,,
93,060001709272,2011,060001709272,0600017,1712793.0,2147055.0,1901647.0,,,,266555.0,,,
94,060001711122,2011,060001711122,0600017,3026891.0,3698416.0,3339649.0,,,,417747.0,,,
95,060001711747,2011,060001711747,0600017,3632892.0,4480740.0,4059230.0,,,,579774.0,,,
96,060001712663,2011,060001712663,0600017,2638593.0,3575277.0,3140297.0,,,,522034.0,,,
97,060001808418,2011,060001808418,0600018,66281.0,75516.0,66281.0,,,,1231.0,,,
98,060001809106,2011,060001809106,0600018,36991.0,48926.0,36991.0,,,,3158.0,,,
99,060001809107,2011,060001809107,0600018,454677.0,538128.0,459780.0,,,,56988.0,,,
100,060001809108,2011,060001809108,0600018,529616.0,711266.0,580615.0,,,,96927.0,,,
101,060001809109,2011,060001809109,0600018,58880.0,130210.0,83118.0,,,,28242.0,,,
