,crdc_id,year,ncessch,leaid,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,teachers_absent_fte,counselors_fte,psychologists_fte,social_workers_fte,nurses_fte,security_guard_fte,law_enforcement_fte,law_enforcement_ind
0,040032402160,2011,040032402160,0400324,6.0,6.0,,0.0,1.0,,,0.0,0.0,,,,,,
1,040032402265,2011,040032402265,0400324,6.0,6.0,,0.0,1.0,,,0.0,0.0,,,,,,
2,060000103278,2011,060000103278,0600001,20.0,20.0,,1.0,1.0,,,0.0,1.0,,,,,,
3,060000106294,2011,060000106294,0600001,9.0,9.0,,0.0,0.0,,,2.0,,,,,,,
4,060000107534,2011,060000107534,0600001,16.0,16.0,,0.0,1.0,,,0.0,,,,,,,
5,060000109444,2011,060000109444,0600001,15.0,15.0,,1.0,0.0,,,0.0,,,,,,,
6,060000210346,2011,060000210346,0600002,27.0,1.0,,1.0,26.0,,,6.0,0.0,,,,,,
7,060000310347,2011,060000310347,0600003,85.0,84.0,,8.0,6.0,,,54.0,4.0,,,,,,
8,060000608773,2011,060000608773,0600006,21.0,21.35,,1.0,1.0,,,10.0,,,,,,,
9,060000608774,2011,060000608774,0600006,32.0,32.35,,3.0,0.0,,,15.0,,,,,,,
10,060000608775,2011,060000608775,0600006,21.0,21.3,,2.0,1.0,,,7.0,,,,,,,
11,060000608776,2011,060000608776,0600006,21.0,21.55,,2.0,0.0,,,12.0,,,,,,,
12,060000699999,2011,,,18.0,18.32,,1.0,0.0,,,11.0,,,,,,,
13,060000908779,2011,060000908779,0600009,6.0,6.5,,0.0,1.0,,,1.0,0.0,,,,,,
14,060000908780,2011,060000908780,0600009,8.0,8.0,,0.0,0.0,,,1.0,,,,,,,
15,060001109065,2011,060001109065,0600011,8.0,8.17,,0.0,0.0,,,1.0,0.17,,,,,,
16,060001109066,2011,060001109066,0600011,1.0,1.92,,0.0,0.0,,,0.0,,,,,,,
17,060001109068,2011,060001109068,0600011,4.0,3.0,,0.63,1.0,,,1.0,,,,,,,
18,060001112763,2011,060001112763,0600011,5.0,5.75,,0.0,0.0,,,0.0,0.0,,,,,,
19,060001206852,2011,060001206852,0600012,1.0,1.0,,0.0,0.0,,,0.0,,,,,,,
20,060001209206,2011,060001209206,0600012,6.0,6.0,,0.0,0.0,,,0.0,,,,,,,
21,060001300805,2011,060001300805,0600013,17.0,17.0,,0.0,0.0,,,7.0,,,,,,,
22,060001302405,2011,060001302405,0600013,87.0,87.0,,8.0,1.0,,,14.0,3.0,,,,,,
23,060001303571,2011,060001303571,0600013,24.0,24.0,,1.0,1.0,,,8.0,,,,,,,
24,060001306176,2011,060001306176,0600013,8.0,8.0,,1.0,0.0,,,3.0,1.0,,,,,,
25,060001306197,2011,060001306197,0600013,4.0,4.19,,0.0,0.0,,,0.0,0.0,,,,,,
26,060001308256,2011,060001308256,0600013,16.0,16.0,,0.0,0.0,,,3.0,,,,,,,
27,060001308257,2011,060001308257,0600013,44.0,44.0,,6.0,0.0,,,12.0,,,,,,,
28,060001308553,2011,060001308553,0600013,38.0,38.0,,3.0,0.0,,,8.0,,,,,,,
29,060001308763,2011,060001308763,0600013,19.0,19.0,,4.0,0.0,,,8.0,,,,,,,
30,060001308764,2011,060001308764,0600013,20.0,20.0,,2.0,0.0,,,5.5,,,,,,,
