,ncessch,year,leaid_x,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,crdc_id_x,teachers_fte_crdc,teachers_current_sy,security_guard_fte,salaries_teachers
0,60000103278.0,2011,600001.0,99,99,89.0,42.0,34.49362,-118.21611,513.0,VASQUEZ HIGH,8.187134502923977,060000103278,20.0,0.04838709677419355,0.002688172043010753,77612.65
1,60000310347.0,2011,600003.0,99,99,13.0,2.0,37.559633,-121.963038,420.0,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,0.4761904761904762,060000310347,85.0,0.31466666666666665,0.0,84851.57647058823
2,60001302405.0,2011,600013.0,99,99,11.0,483.0,38.813629,-121.253474,1843.0,ROCKLIN HIGH,26.207270754205105,060001302405,87.0,0.044884169884169885,0.0,51197.724137931036
3,60001311010.0,2011,600013.0,99,99,0.0,424.0,38.836409,-121.289393,1777.0,WHITNEY HIGH,23.860438942037142,060001311010,72.0,0.04608788853161844,0.0,54703.36111111111
4,60001609086.0,2011,600016.0,99,99,319.0,439.0,34.104689,-117.657452,3557.0,UPLAND HIGH,12.341861118920438,060001609086,123.0,0.04214440656956926,0.0027765726681127983,75420.26016260163
5,60001708297.0,2011,600017.0,99,99,125.0,159.0,34.508882,-117.165257,1858.0,GRANITE HILLS HIGH,8.557588805166846,060001708297,53.0,0.04955264969029594,0.003269098417068135,69564.49056603774
6,60001709098.0,2011,600017.0,99,99,278.0,93.0,34.466832,-117.188499,2084.0,APPLE VALLEY HIGH,4.46257197696737,060001709098,65.0,0.0467246907924874,0.003092075125973431,66354.55384615385
7,60001809107.0,2011,600018.0,99,99,11.0,10.0,40.551285,-123.17066,102.0,HAYFORK HIGH,9.803921568627452,060001809107,8.0,0.10526315789473684,0.0,56834.625
8,60001909273.0,2011,600019.0,99,99,32.0,329.0,37.72196,-121.9271,1653.0,DUBLIN HIGH,19.903206291591047,060001909273,64.0,0.042545454545454546,0.0,66097.65625
9,60002009279.0,2011,600020.0,99,99,0.0,765.0,37.673,-121.9204,2215.0,FOOTHILL HIGH,34.537246049661405,060002009279,87.0,0.03676470588235294,0.0010340073529411765,72321.37931034483
10,60002009282.0,2011,600020.0,99,99,0.0,883.0,37.668352,-121.875069,2636.0,AMADOR VALLEY HIGH,33.497723823975726,060002009282,103.0,0.037037037037037035,0.0007482229704451926,74902.80582524271
11,60002200395.0,2011,600022.0,99,99,0.0,74.0,36.748133,-120.378663,716.0,MENDOTA HIGH,10.335195530726256,060002200395,35.0,0.04406779661016949,0.0013559322033898304,58661.08571428571
12,60002506328.0,2011,600025.0,99,99,18.0,726.0,33.874569,-118.389452,2428.0,MIRA COSTA HIGH,29.901153212520594,060002506328,90.0,0.04014167650531287,0.0023612750885478157,71641.62222222223
13,60002604544.0,2011,600026.0,99,99,0.0,39.0,34.799506,-118.891645,363.0,FRAZIER MOUNTAIN HIGH,10.743801652892563,060002604544,15.0,0.058394160583941604,0.0036496350364963502,51960.86666666667
14,60002709489.0,2011,600027.0,99,99,174.0,307.0,33.624095,-117.278755,2324.0,ELSINORE HIGH,13.20998278829604,060002709489,89.0,0.042583732057416265,0.002631578947368421,84467.11235955056
15,60002710280.0,2011,600027.0,99,99,69.0,37.0,33.703253,-117.347853,2042.0,TEMESCAL CANYON HIGH,1.811949069539667,060002710280,86.0,0.042876284055381866,0.0025145154086645824,81667.98837209302
16,60002711036.0,2011,600027.0,99,99,0.0,0.0,33.669313,-117.382704,1932.0,LAKESIDE HIGH,0.0,060002711036,81.0,0.04440697020798201,0.0030916245081506464,78984.03703703704
17,60002807222.0,2011,600028.0,99,99,2.0,602.0,33.538361,-117.14752,3109.0,CHAPARRAL HIGH,19.36313927307816,060002807222,111.0,0.040025823111684955,0.002043253712072305,77589.12612612612
18,60002808564.0,2011,600028.0,99,99,40.0,51.0,33.604272,-117.08577,963.0,TEMECULA PREPARATORY,5.29595015576324,060002808564,47.0,0.045584045584045586,0.000949667616334283,0.0
19,60002809499.0,2011,600028.0,99,99,196.0,449.0,33.502191,-117.118111,2733.0,TEMECULA VALLEY HIGH,16.428832784485913,060002809499,114.0,0.04071773636991028,0.0023533471359558317,65616.69298245614
20,60002811038.0,2011,600028.0,99,99,397.0,1097.0,33.452743,-117.092223,3469.0,GREAT OAK HIGH,31.62294609397521,060002811038,116.0,0.03840245775729647,0.002119815668202765,75199.66379310345
21,60002909685.0,2011,600029.0,99,99,31.0,374.0,33.564808,-117.231812,2326.0,MURRIETA VALLEY HIGH,16.079105760963028,060002909685,107.0,0.041492036881810565,0.0020955574182732607,61793.7476635514
22,60002911249.0,2011,600029.0,99,99,18.0,509.0,33.596818,-117.165776,3227.0,VISTA MURRIETA HIGH,15.773163929346143,060002911249,122.0,0.03941311852704258,0.0023014959723820483,67980.31967213115
23,60002912289.0,2011,600029.0,99,99,34.0,443.0,33.564415,-117.202444,2157.0,MURRIETA MESA HIGH,20.537783959202596,060002912289,96.0,0.03893951946975974,0.002071251035625518,58208.364583333336
24,60003206330.0,2011,600032.0,99,99,18.0,1344.0,33.845443,-118.384229,2499.0,REDONDO UNION HIGH,53.78151260504202,060003206330,88.0,0.041383989145183174,0.0028833107191316145,74194.06818181818
