ncessch,year,leaid,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name
60000103278.0,2011,600001.0,99,99,89.0,42.0,34.49362,-118.21611,513.0,VASQUEZ HIGH
60000310347.0,2011,600003.0,99,99,13.0,2.0,37.559633,-121.963038,420.0,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT
60001109065.0,2011,600011.0,99,99,2.0,4.0,40.138741,-120.143969,78.0,HERLONG HIGH
60001302405.0,2011,600013.0,99,99,11.0,483.0,38.813629,-121.253474,1843.0,ROCKLIN HIGH
60001311010.0,2011,600013.0,99,99,0.0,424.0,38.836409,-121.289393,1777.0,WHITNEY HIGH
60001405093.0,2011,600014.0,99,99,202.0,126.0,34.410601,-117.28671,2206.0,SULTANA HIGH
60001409072.0,2011,600014.0,99,99,96.0,166.0,34.430083,-117.347731,1968.0,HESPERIA HIGH
60001412417.0,2011,600014.0,99,99,128.0,290.0,34.388994,-117.385669,2275.0,OAK HILLS HIGH
60001609086.0,2011,600016.0,99,99,319.0,439.0,34.104689,-117.657452,3557.0,UPLAND HIGH
60001708297.0,2011,600017.0,99,99,125.0,159.0,34.508882,-117.165257,1858.0,GRANITE HILLS HIGH
60001709098.0,2011,600017.0,99,99,278.0,93.0,34.466832,-117.188499,2084.0,APPLE VALLEY HIGH
60001809107.0,2011,600018.0,99,99,11.0,10.0,40.551285,-123.17066,102.0,HAYFORK HIGH
60001909273.0,2011,600019.0,99,99,32.0,329.0,37.72196,-121.9271,1653.0,DUBLIN HIGH
60002009279.0,2011,600020.0,99,99,0.0,765.0,37.673,-121.9204,2215.0,FOOTHILL HIGH
60002009282.0,2011,600020.0,99,99,0.0,883.0,37.668352,-121.875069,2636.0,AMADOR VALLEY HIGH
60002200395.0,2011,600022.0,99,99,0.0,74.0,36.748133,-120.378663,716.0,MENDOTA HIGH
60002506328.0,2011,600025.0,99,99,18.0,726.0,33.874569,-118.389452,2428.0,MIRA COSTA HIGH
60002604544.0,2011,600026.0,99,99,0.0,39.0,34.799506,-118.891645,363.0,FRAZIER MOUNTAIN HIGH
60002709489.0,2011,600027.0,99,99,174.0,307.0,33.624095,-117.278755,2324.0,ELSINORE HIGH
60002710280.0,2011,600027.0,99,99,69.0,37.0,33.703253,-117.347853,2042.0,TEMESCAL CANYON HIGH
60002711036.0,2011,600027.0,99,99,0.0,0.0,33.669313,-117.382704,1932.0,LAKESIDE HIGH
60002807222.0,2011,600028.0,99,99,2.0,602.0,33.538361,-117.14752,3109.0,CHAPARRAL HIGH
60002808564.0,2011,600028.0,99,99,40.0,51.0,33.604272,-117.08577,963.0,TEMECULA PREPARATORY
60002809499.0,2011,600028.0,99,99,196.0,449.0,33.502191,-117.118111,2733.0,TEMECULA VALLEY HIGH
60002811038.0,2011,600028.0,99,99,397.0,1097.0,33.452743,-117.092223,3469.0,GREAT OAK HIGH
60002909685.0,2011,600029.0,99,99,31.0,374.0,33.564808,-117.231812,2326.0,MURRIETA VALLEY HIGH
